,,,Weight Gurus,,,,,,,WHOOP,,,,,,,,,,,,,,,,,,,STRAVA,,,,,,,,,,,Stryd,,,,,Cycling,,,,,,,,,,,,,,,,,,,Garmin,,,,,,,,,,,,,,,LOSE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,DAYS,WEEK NUMBER,Weight (pounds),Mass (kg),Body Fat %,Muscle Mass %,Water Weight %,BMI (my calculation),Post run weight (pounds),Recovery,Day Strain,Calories,HRV,RHR,Respiratory Rate,VO2 max,Sleep Performance,WHOOP Total Hours of Sleep,Light,REM,WHOOP Deep Sleep,WHOOP Awake,WHOOP Activity,WHOOP Avg HR (bpm),Max HR,WHOOP Duration,WHOOP Activity Calories Burned,WHOOP Activity Strain,Run type,Elevation (ft),Temperature (F),Humidity (%),Feels like,Distance (miles),Time,Average Pace (min/mile),GARMIN Average HR (bpm),Average Cadence (spm),Shoes,Average Power (W),Functional Threshold Power (rFTPw),Average Vertical Oscillation (cm),Average Ground Contact Time (ms),RSS,Cycling Distance (miles),Indoor Cycling Time,Outdoor Cycling Time,Cycling Elevation (ft),Calories,Average ZWIFT Power,Average GARMIN Power,Average Cycling HR,Average Cycling Cadence,Trainer Road TSS,Weekly TSS,Strava estimated FTP (W),zFTP (W),Normalized zFTP (W/kg),zMAP (W),zVO2 max,Zwift Racing Score,Zwift Pace Group,Garmin Avg Running Pwr,Max HR,Average Stride Length (m),Average GC Time Balance (right foot) %,Body Battery Maximum,Training Load,Running VO2 max,Cycling VO2 max,Endurance Score,Garmin HRV Overnight Avg,Garmin RHR,GARMIN Total hours of Sleep,Garmin Deep Sleep,Light Sleep,REM Sleep,Awake,LOSE IT budget,Calories required (low),Calories consumed,Calories required (high),Total Active Time (hrs),GARMIN Calories burned,Net calories,Carbs required (g),Carbs actual (g),Carbs %,Fat required (g),Fat actual (g),Protein required (g),Protein actual (g),Running speed (mph),Running METs (Metabolic EquivalenTs),Indoor Biking METs,Outdoor Biking METs,Calories Burned (MET calculation),Protein (g) / Pound of weight,Intraworkout carbs,Carbs per hour,Sodium (milligrams),Systolic,Diastolic,Heart rate,Temperature,Post workout carbs (grams - high),Post workout protein ideal (grams),Post workout protein - actual (grams),Runtypes,BMR calculation
8/12/2020,,,188.3,85.4,17.1,,,23.54,,,,,,,,,,,,,,,,,,,,,Medium long,,,,,10.02,1:27:16,0:08:42,155,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,50,,,,,7:33:00,1:33:00,,,,,3954,3701,4708,,1652,204.9,433.1,652.1,,94.2,72.4,141.2,135.6,6.90,9.8,,,1278,,,94.15,209,,,,,141,52.2,17.5,,
8/13/2020,,,188.3,85.4,17.0,,,23.54,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,5.06,0:46:41,0:09:13,141,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,51,,,,,7:37:00,1:24:00,,,,,3954,3278,4708,,717,256.1,433.1,612.1,,94.2,46.1,141.2,109.1,6.51,9.8,,,684,,,94.15,188,,,,,141,47.0,17.5,,
8/14/2020,,,186.3,84.5,16.8,,,23.29,,,,,,,,,,,,,,,,,,,,,General aerobic,,,,,8.00,1:09:27,0:08:41,152,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,51,,,,,7:35:00,1:32:00,,,,,3912,3782,4658,,1240,254.2,428.5,552.5,,93.2,117.1,139.7,132.3,6.91,9.8,,,1007,,,,,,,,,,,,,
8/15/2020,,,185.4,84.1,16.7,,,23.17,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,5.02,0:46:51,0:09:19,153,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658,51,,,,,8:58:00,0:44:00,,,,,3893,3141,4635,,859,228.2,426.4,416.6,,92.7,77.0,139.1,77.0,6.44,9.8,,,676,,,,,,,,,,,,,
8/16/2020,,,185.8,84.3,16.7,,,23.22,,,,,,,,,,,,,,,,,,,,,Medium long,,,,,14.00,2:04:55,0:08:55,152,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757,51,,,,,7:01:00,0:56:00,,,,,3902,3361,4645,,2391,97.0,427.3,466.6,,92.9,121.3,139.4,108.5,6.73,9.8,,,1805,,,,,,,,,,,,,
8/17/2020,,,184.7,83.8,16.7,,,23.09,,,,,,,,,,,,,,,,,,,,,Rest,,,,,0.00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757,51,,,,,8:39:00,1:42:00,,,,,3879,2395,4618,,0,239.5,424.8,412.1,,92.4,46.3,138.5,98.1,,,,,0,,,,,,,,,,,,,
8/18/2020,,,185.6,84.2,16.7,,,23.20,,,,,,,,,,,,,,,,,,,,,Threshold,,,,,8.04,1:04:32,0:08:04,165,168,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,1875,51,,,,,7:28:00,0:51:00,,,,,3898,3630,4640,,1292,233.8,426.9,608.9,,92.8,66.5,139.2,145.6,7.44,11.0,,,1046,,,,,,,,,,,,,
8/19/2020,,,185.2,84.0,16.5,,,23.15,,,,,,,,,,,,,,,,,,,,,Medium long,,,,,10.03,1:28:35,0:08:50,147,166,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,1767,51,,,,,7:14:00,0:44:00,,,,,3889,3869,4630,,1510,235.9,426.0,579.7,,92.6,114.0,138.9,153.8,6.79,9.8,,,1276,,,,,,,,,,,,,
8/20/2020,,,185.2,84.0,16.6,,,23.15,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,5.02,0:47:52,0:09:32,133,165,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,1716,51,,,,,8:31:00,1:23:00,,,,,3889,3243,4630,,848,239.5,426.0,437.2,,92.6,111.0,138.9,125.3,6.29,9.8,,,690,,,,,,,,,,,,,
8/21/2020,,,186.7,84.7,16.7,,,23.34,,,,,,,,,,,,,,,,,,,,,General aerobic,,,,,8.00,1:07:24,0:08:25,150,167,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,1683,51,,,,,7:06:00,1:29:00,,,,,3921,3702,4668,,1246,245.6,429.4,519.0,,93.4,127.9,140.0,132.1,7.13,11.0,,,1099,,,,,,,,,,,,,
